energy (kV),6,13,14,26,29,47,79
1,0.06334,0.16798,0.18333,0.32676,0.35299,0.47989,0.60725
2,0.07576,0.18737,0.20448,0.34437,0.37273,0.4894,0.60824
3,0.07394,0.18381,0.20114,0.33554,0.36203,0.47894,0.5948
4,0.07156,0.1797,0.19405,0.33185,0.35609,0.46937,0.5832
5,0.06747,0.17866,0.18977,0.32312,0.3514,0.46435,0.57903
10,0.06171,0.16612,0.18098,0.30973,0.33576,0.44622,0.55913
20,0.05625,0.16027,0.17225,0.30239,0.32449,0.43435,0.54374
30,0.05452,0.15725,0.17087,0.29971,0.32131,0.42805,0.54021
40,0.05486,0.15795,0.16937,0.29798,0.32322,0.4282,0.53764
50,0.05647,0.15758,0.17172,0.2967,0.32164,0.42734,0.53843
60,0.05571,0.16001,0.17023,0.29714,0.32204,0.42832,0.53787
